status_slucaja,confidence,izvor_snimka,model,napomena,povrsina_px,odnos_stranica,popunjenost,procenjena_povrsina_m2,parcela_id,broj_parcele,katastarska_opstina,inspektor_id,ima_dozvolu,preklapa_objekat_id,index_right,objekat_id,broj_dozvole,namjena_objekta
Podudara se sa legalnim objektom,0.932,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,508.0,1.1,0.48,119.93,315,ADICA-TEST-20,Adica,1,True,175,24,175,ROP-ADICA-TEST-20,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,460.0,1.0,0.68,111.04,333,ADICA-TEST-38,Adica,1,True,180,29,180,ROP-ADICA-TEST-25,stambeni
Podudara se sa legalnim objektom,0.902,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,377.5,1.73,0.45,91.96,340,ADICA-TEST-45,Adica,1,True,200,50,200,ROP-ADICA-TEST-45,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,295.0,1.04,0.53,70.47,366,ADICA-TEST-71,Adica,1,True,226,76,226,ROP-ADICA-TEST-71,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,453.0,1.04,0.56,108.04,325,ADICA-TEST-30,Adica,1,True,185,34,185,ROP-ADICA-TEST-30,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,316.0,2.31,0.53,74.67,390,ADICA-TEST-95,Adica,1,True,217,67,217,ROP-ADICA-TEST-62,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,450.5,1.7,0.66,105.76,330,ADICA-TEST-35,Adica,1,True,190,39,190,ROP-ADICA-TEST-35,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,261.0,1.1,0.54,62.06,320,ADICA-TEST-25,Adica,1,True,180,92,243,ROP-ADICA-TEST-88,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,362.0,1.33,0.62,86.67,345,ADICA-TEST-50,Adica,1,True,205,55,205,ROP-ADICA-TEST-50,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,270.5,1.32,0.57,65.67,357,ADICA-TEST-62,Adica,1,True,236,85,236,ROP-ADICA-TEST-81,stambeni
Podudara se sa legalnim objektom,0.868,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,1788.5,1.32,0.42,425.69,332,ADICA-TEST-37,Adica,1,True,156,5,156,ROP-ADICA-TEST-1,stambeni
Podudara se sa legalnim objektom,0.912,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,276.5,1.13,0.46,67.35,296,ADICA-TEST-1,Adica,1,True,233,82,233,ROP-ADICA-TEST-78,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,270.0,1.56,0.68,65.31,377,ADICA-TEST-82,Adica,1,True,237,86,237,ROP-ADICA-TEST-82,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,457.0,2.56,0.55,109.24,323,ADICA-TEST-28,Adica,1,True,183,32,183,ROP-ADICA-TEST-28,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,586.5,1.56,0.52,143.58,306,ADICA-TEST-11,Adica,1,True,166,15,166,ROP-ADICA-TEST-11,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,518.5,1.87,0.52,124.61,314,ADICA-TEST-19,Adica,1,True,174,23,174,ROP-ADICA-TEST-19,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,391.0,1.04,0.71,94.48,337,ADICA-TEST-42,Adica,1,True,197,47,197,ROP-ADICA-TEST-42,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,444.5,1.36,0.67,106.36,328,ADICA-TEST-33,Adica,1,True,188,37,188,ROP-ADICA-TEST-33,stambeni
Podudara se sa legalnim objektom,0.9,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,257.5,1.18,0.45,63.03,381,ADICA-TEST-86,Adica,1,True,241,90,241,ROP-ADICA-TEST-86,stambeni
Podudara se sa legalnim objektom,0.925,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,342.0,2.81,0.47,83.43,349,ADICA-TEST-54,Adica,1,True,209,59,209,ROP-ADICA-TEST-54,stambeni
Podudara se sa legalnim objektom,0.873,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,1704.5,1.55,0.42,402.52,297,ADICA-TEST-2,Adica,1,True,157,6,157,ROP-ADICA-TEST-2,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,446.5,1.07,0.57,108.16,324,ADICA-TEST-29,Adica,1,True,184,33,184,ROP-ADICA-TEST-29,stambeni
Podudara se sa legalnim objektom,0.938,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,211.0,1.33,0.49,51.02,406,ADICA-TEST-111,Adica,1,True,266,115,266,ROP-ADICA-TEST-111,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,453.0,1.0,0.79,107.68,326,ADICA-TEST-31,Adica,1,True,186,35,186,ROP-ADICA-TEST-31,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,227.0,1.4,0.72,54.74,399,ADICA-TEST-104,Adica,1,True,259,108,259,ROP-ADICA-TEST-104,stambeni
Podudara se sa legalnim objektom,0.803,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,525.5,1.55,0.35,125.69,312,ADICA-TEST-17,Adica,1,True,172,21,172,ROP-ADICA-TEST-17,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,368.5,1.27,0.6,90.16,399,ADICA-TEST-104,Adica,1,True,259,52,202,ROP-ADICA-TEST-47,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,383.0,1.39,0.52,89.2,343,ADICA-TEST-48,Adica,1,True,203,53,203,ROP-ADICA-TEST-48,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,298.0,1.15,0.65,72.99,343,ADICA-TEST-48,Adica,1,True,221,71,221,ROP-ADICA-TEST-66,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,245.0,1.12,0.76,58.58,391,ADICA-TEST-96,Adica,1,True,251,100,251,ROP-ADICA-TEST-96,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,210.5,1.47,0.64,50.18,409,ADICA-TEST-114,Adica,1,True,269,118,269,ROP-ADICA-TEST-114,stambeni
Podudara se sa legalnim objektom,0.925,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,547.0,1.12,0.47,129.17,311,ADICA-TEST-16,Adica,1,True,171,20,171,ROP-ADICA-TEST-16,stambeni
Podudara se sa legalnim objektom,0.949,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,249.5,1.25,0.5,61.34,386,ADICA-TEST-91,Adica,1,True,246,95,246,ROP-ADICA-TEST-91,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,221.0,1.05,0.58,54.26,386,ADICA-TEST-91,Adica,1,True,261,110,261,ROP-ADICA-TEST-106,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,303.0,1.09,0.57,73.11,359,ADICA-TEST-64,Adica,1,True,219,69,219,ROP-ADICA-TEST-64,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,291.5,1.18,0.51,69.03,409,ADICA-TEST-114,Adica,1,True,229,79,229,ROP-ADICA-TEST-74,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,482.0,1.15,0.62,114.77,317,ADICA-TEST-22,Adica,1,True,177,26,177,ROP-ADICA-TEST-22,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,232.0,1.18,0.68,55.46,396,ADICA-TEST-101,Adica,1,True,256,105,256,ROP-ADICA-TEST-101,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,568.5,1.35,0.62,131.21,310,ADICA-TEST-15,Adica,1,True,170,19,170,ROP-ADICA-TEST-15,stambeni
Podudara se sa legalnim objektom,0.877,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,288.0,1.08,0.43,69.03,370,ADICA-TEST-75,Adica,1,True,230,80,230,ROP-ADICA-TEST-75,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,231.0,1.22,0.58,55.7,394,ADICA-TEST-99,Adica,1,True,254,103,254,ROP-ADICA-TEST-99,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,216.0,1.31,0.64,53.06,404,ADICA-TEST-109,Adica,1,True,264,113,264,ROP-ADICA-TEST-109,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,369.0,1.1,0.76,88.96,344,ADICA-TEST-49,Adica,1,True,204,54,204,ROP-ADICA-TEST-49,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,229.5,1.16,0.55,55.58,395,ADICA-TEST-100,Adica,1,True,255,104,255,ROP-ADICA-TEST-100,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,318.0,1.19,0.61,74.91,356,ADICA-TEST-61,Adica,1,True,216,66,216,ROP-ADICA-TEST-61,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,357.0,1.04,0.65,86.43,346,ADICA-TEST-51,Adica,1,True,206,56,206,ROP-ADICA-TEST-51,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,276.5,1.05,0.55,67.59,372,ADICA-TEST-77,Adica,1,True,232,41,232,ROP-ADICA-TEST-77,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,305.0,1.53,0.69,71.91,308,ADICA-TEST-13,Adica,1,True,222,72,222,ROP-ADICA-TEST-67,stambeni
Podudara se sa legalnim objektom,0.946,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,569.5,1.46,0.5,137.46,356,ADICA-TEST-61,Adica,1,True,168,17,168,ROP-ADICA-TEST-13,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,342.5,1.32,0.54,82.71,350,ADICA-TEST-55,Adica,1,True,210,60,210,ROP-ADICA-TEST-55,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,500.5,1.26,0.75,118.13,316,ADICA-TEST-21,Adica,1,True,176,25,176,ROP-ADICA-TEST-21,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,281.0,1.05,0.61,68.67,371,ADICA-TEST-76,Adica,1,True,231,81,231,ROP-ADICA-TEST-76,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,483.0,1.26,0.72,112.37,318,ADICA-TEST-23,Adica,1,True,178,27,178,ROP-ADICA-TEST-23,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,263.5,1.05,0.52,62.67,382,ADICA-TEST-87,Adica,1,True,242,91,242,ROP-ADICA-TEST-87,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,279.0,2.29,0.62,65.07,352,ADICA-TEST-57,Adica,1,True,238,87,238,ROP-ADICA-TEST-83,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,409.5,1.48,0.52,97.72,334,ADICA-TEST-39,Adica,1,True,194,44,194,ROP-ADICA-TEST-39,stambeni
Podudara se sa legalnim objektom,0.905,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,319.5,1.04,0.46,78.15,352,ADICA-TEST-57,Adica,1,True,212,62,212,ROP-ADICA-TEST-57,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,266.5,1.0,0.5,64.11,379,ADICA-TEST-84,Adica,1,True,239,88,239,ROP-ADICA-TEST-84,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,225.0,1.29,0.6,53.9,402,ADICA-TEST-107,Adica,1,True,262,111,262,ROP-ADICA-TEST-107,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,231.0,1.18,0.68,55.94,392,ADICA-TEST-97,Adica,1,True,252,101,252,ROP-ADICA-TEST-97,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,222.5,1.35,0.57,54.74,400,ADICA-TEST-105,Adica,1,True,260,109,260,ROP-ADICA-TEST-105,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,305.0,1.21,0.7,74.07,358,ADICA-TEST-63,Adica,1,True,218,68,218,ROP-ADICA-TEST-63,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,389.0,1.14,0.71,92.08,339,ADICA-TEST-44,Adica,1,True,199,49,199,ROP-ADICA-TEST-44,stambeni
Podudara se sa legalnim objektom,0.931,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,572.0,1.63,0.48,142.14,307,ADICA-TEST-12,Adica,1,True,167,16,167,ROP-ADICA-TEST-12,stambeni
Podudara se sa legalnim objektom,0.935,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,254.5,1.19,0.48,59.9,389,ADICA-TEST-94,Adica,1,True,249,98,249,ROP-ADICA-TEST-94,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,775.5,1.53,0.56,180.31,301,ADICA-TEST-6,Adica,1,True,161,10,161,ROP-ADICA-TEST-6,stambeni
Podudara se sa legalnim objektom,0.902,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,401.0,1.54,0.45,94.12,338,ADICA-TEST-43,Adica,1,True,198,48,198,ROP-ADICA-TEST-43,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,209.0,1.56,0.52,51.26,405,ADICA-TEST-110,Adica,1,True,265,114,265,ROP-ADICA-TEST-110,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,237.0,2.31,0.61,55.94,393,ADICA-TEST-98,Adica,1,True,253,102,253,ROP-ADICA-TEST-98,stambeni
Podudara se sa legalnim objektom,0.93,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,681.5,1.69,0.48,164.23,303,ADICA-TEST-8,Adica,1,True,163,12,163,ROP-ADICA-TEST-8,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,289.0,1.53,0.65,69.75,368,ADICA-TEST-73,Adica,1,True,228,78,228,ROP-ADICA-TEST-73,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,290.0,1.65,0.61,70.47,338,ADICA-TEST-43,Adica,1,True,225,75,225,ROP-ADICA-TEST-70,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,449.5,2.05,0.61,112.37,319,ADICA-TEST-24,Adica,1,True,179,28,179,ROP-ADICA-TEST-24,stambeni
Podudara se sa legalnim objektom,0.866,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,1371.5,1.09,0.42,317.29,299,ADICA-TEST-4,Adica,1,True,159,8,159,ROP-ADICA-TEST-4,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,263.0,1.8,0.65,62.06,384,ADICA-TEST-89,Adica,1,True,244,93,244,ROP-ADICA-TEST-89,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,693.5,1.21,0.53,162.31,304,ADICA-TEST-9,Adica,1,True,164,13,164,ROP-ADICA-TEST-9,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,209.5,1.56,0.52,50.3,408,ADICA-TEST-113,Adica,1,True,268,117,268,ROP-ADICA-TEST-113,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,225.0,2.33,0.67,54.86,398,ADICA-TEST-103,Adica,1,True,258,107,258,ROP-ADICA-TEST-103,stambeni
Podudara se sa legalnim objektom,0.81,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,1308.5,1.2,0.36,321.85,299,ADICA-TEST-4,Adica,1,True,158,7,158,ROP-ADICA-TEST-3,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,307.5,1.3,0.59,71.91,363,ADICA-TEST-68,Adica,1,True,223,73,223,ROP-ADICA-TEST-68,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,298.0,1.32,0.63,71.67,364,ADICA-TEST-69,Adica,1,True,224,74,224,ROP-ADICA-TEST-69,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,248.0,1.05,0.59,60.38,387,ADICA-TEST-92,Adica,1,True,247,96,247,ROP-ADICA-TEST-92,stambeni
Podudara se sa legalnim objektom,0.847,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,217.0,1.24,0.4,55.1,397,ADICA-TEST-102,Adica,1,True,257,106,257,ROP-ADICA-TEST-102,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,400.5,1.04,0.73,94.96,335,ADICA-TEST-40,Adica,1,True,195,45,195,ROP-ADICA-TEST-40,stambeni
Podudara se sa legalnim objektom,0.901,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,389.5,1.19,0.45,94.6,336,ADICA-TEST-41,Adica,1,True,196,46,196,ROP-ADICA-TEST-41,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,462.5,1.95,0.59,110.44,321,ADICA-TEST-26,Adica,1,True,181,30,181,ROP-ADICA-TEST-26,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,316.5,1.09,0.6,77.55,353,ADICA-TEST-58,Adica,1,True,213,63,213,ROP-ADICA-TEST-58,stambeni
